fitness,structure
4.026513,"{'opt': 'Adagrad', 'learning_rate': 0.0029672992821055443, 'n_hidden_units': 8, 'dropout': 0.33177380856220606, 'seq_len': 14, 'weight_decay': 0, 'h2': 124, 'features': ['SENT', 'BRENT Close']}"
33.207336,"{'opt': 'RMSprop', 'learning_rate': 0.007762164880704038, 'n_hidden_units': 32, 'dropout': 0.432186814566789, 'seq_len': 23, 'weight_decay': 0, 'h2': 99, 'features': ['BRENT Close', 'SENT']}"
4.875628,"{'opt': 'AdamW', 'learning_rate': 0.004444896553545318, 'n_hidden_units': 8, 'dropout': 0.3316635319256157, 'seq_len': 14, 'weight_decay': 0, 'h2': 57, 'features': ['BRENT Close', 'SENT']}"
2.5467744,"{'opt': 'SGD', 'learning_rate': 0.008600119407122686, 'n_hidden_units': 64, 'dropout': 0.45757937597341475, 'seq_len': 26, 'weight_decay': 0, 'h2': 110, 'features': ['BRENT Close', 'SENT']}"
2.7458904,"{'opt': 'Adamax', 'learning_rate': 0.007003943487687703, 'n_hidden_units': 32, 'dropout': 0.40921040871780917, 'seq_len': 21, 'weight_decay': 0, 'h2': 89, 'features': ['BRENT Close', 'SENT']}"
154.293,"{'opt': 'Adadelta', 'learning_rate': 0.0010323557440877304, 'n_hidden_units': 2, 'dropout': 0.22825320436629487, 'seq_len': 5, 'weight_decay': 0, 'h2': 13, 'features': ['SENT', 'BRENT Close']}"
2.5883763,"{'opt': 'SGD', 'learning_rate': 0.009758661281203883, 'n_hidden_units': 64, 'dropout': 0.4926867054910268, 'seq_len': 29, 'weight_decay': 0, 'h2': 124, 'features': ['SENT', 'BRENT Close']}"
11.992929,"{'opt': 'RMSprop', 'learning_rate': 0.007635283049704495, 'n_hidden_units': 32, 'dropout': 0.4283419105971059, 'seq_len': 23, 'weight_decay': 0, 'h2': 97, 'features': ['BRENT Close', 'SENT']}"
3.813647,"{'opt': 'RMSprop', 'learning_rate': 0.007882036622241843, 'n_hidden_units': 32, 'dropout': 0.43581929158308613, 'seq_len': 24, 'weight_decay': 0, 'h2': 101, 'features': ['BRENT Close', 'SENT']}"
13.092855,"{'opt': 'Adadelta', 'learning_rate': 0.0013683249634879042, 'n_hidden_units': 2, 'dropout': 0.23843408980266378, 'seq_len': 6, 'weight_decay': 0, 'h2': 18, 'features': ['SENT', 'BRENT Close']}"
2.5865014,"{'opt': 'AdamW', 'learning_rate': 0.004558820785166115, 'n_hidden_units': 8, 'dropout': 0.33511578136867015, 'seq_len': 15, 'weight_decay': 0, 'h2': 58, 'features': ['BRENT Close', 'SENT']}"
11.257653,"{'opt': 'AdamW', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.5, 'seq_len': 16, 'weight_decay': 0, 'h2': 14, 'features': ['SENT', 'BRENT Close']}"
2.5579765,"{'opt': 'Adamax', 'learning_rate': 0.00889160246754653, 'n_hidden_units': 64, 'dropout': 0.45305759578880583, 'seq_len': 19, 'weight_decay': 0, 'h2': 79, 'features': ['BRENT Close', 'SENT']}"
2.4506364,"{'opt': 'SGD', 'learning_rate': 0.0066797030054680006, 'n_hidden_units': 16, 'dropout': 0.3808982338399168, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.556306,"{'opt': 'SGD', 'learning_rate': 0.007813619451336106, 'n_hidden_units': 64, 'dropout': 0.35841959324370404, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.7322764,"{'opt': 'SGD', 'learning_rate': 0.0001, 'n_hidden_units': 32, 'dropout': 0.3960551476025263, 'seq_len': 29, 'weight_decay': 0, 'h2': 51, 'features': ['BRENT Close', 'SENT']}"
2.809467,"{'opt': 'SGD', 'learning_rate': 0.0011052893694667467, 'n_hidden_units': 64, 'dropout': 0.29108759040095405, 'seq_len': 19, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.9427645,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 64, 'dropout': 0.5, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.9002912,"{'opt': 'SGD', 'learning_rate': 0.009759126883996522, 'n_hidden_units': 8, 'dropout': 0.3911547463705394, 'seq_len': 23, 'weight_decay': 0, 'h2': 100, 'features': ['BRENT Close', 'SENT']}"
2.486426,"{'opt': 'SGD', 'learning_rate': 0.007123487293685053, 'n_hidden_units': 64, 'dropout': 0.2, 'seq_len': 24, 'weight_decay': 0, 'h2': 103, 'features': ['BRENT Close', 'SENT']}"
5.289914,"{'opt': 'AdamW', 'learning_rate': 0.0056661662813059, 'n_hidden_units': 8, 'dropout': 0.39148599666409156, 'seq_len': 5, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.487074,"{'opt': 'SGD', 'learning_rate': 0.009859077976411843, 'n_hidden_units': 64, 'dropout': 0.3956768878471079, 'seq_len': 12, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.658337,"{'opt': 'SGD', 'learning_rate': 0.008815953712025865, 'n_hidden_units': 32, 'dropout': 0.44824793984193706, 'seq_len': 29, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.8901615,"{'opt': 'SGD', 'learning_rate': 0.002862765569820716, 'n_hidden_units': 64, 'dropout': 0.3221659925814751, 'seq_len': 29, 'weight_decay': 0, 'h2': 125, 'features': ['SENT', 'BRENT Close']}"
