iter,best_val_mse
0,1.4837639307311004
1,1.4489018774186697
2,1.4398821311058112
3,1.4076665711966536
4,1.3873618448512908
5,1.361321174653809
6,1.3608947471636628
7,1.3204366698686312
8,1.2875920870502728
9,1.2818488559549517
10,1.2397448198113536
11,1.2298263098212685
12,1.1865625409949938
13,1.1692468170662536
14,1.1602118327589226
15,1.1420631936434755
16,1.1136400869986156
17,1.08781252580228
18,1.0629261419426046
19,1.028847138863066
20,1.0127101317363856
21,0.9919444644456386
22,0.9828419573825933
23,0.9530620950512599
24,0.910371730576238
