iter,best_val_mse
0,1.6600014648131798
1,1.6275766961594165
2,1.6098484777807214
3,1.5930447955018425
4,1.549013175060574
5,1.52315609486797
6,1.5160541402295113
7,1.4818007506601556
8,1.4431502733737134
9,1.4277603942748052
10,1.3914984171450098
11,1.365617253731798
12,1.3470795915785803
13,1.2989308837575286
14,1.275021847350101
15,1.2611895663138135
16,1.230672389005493
17,1.2185409787362995
18,1.1800418977892915
19,1.1528780586520786
20,1.1528780586520786
21,1.1095265683016977
22,1.0867029374682668
23,1.0454112219848128
24,1.0286595039185085
