iter,best_val_mse
0,1.9087756704390397
1,1.8801406139129602
2,1.8381360895363343
3,1.819224420237624
4,1.7901708448439553
5,1.7493476133571473
6,1.7493476133571473
7,1.7029899186875646
8,1.6533781457841197
9,1.645610341343159
10,1.5964023716895883
11,1.587609122132097
12,1.5622562636606727
13,1.508902688769649
14,1.5003749657506549
15,1.464038716176926
16,1.4391357229777264
17,1.4221590805749877
18,1.3668651330726667
19,1.331032097799105
20,1.2996368157258444
21,1.2707367205337197
22,1.2497576261188266
23,1.224961529402436
24,1.1944157194489797
