iter,best_val_mse
0,3.90312188905171
1,3.824994094866809
2,3.7570261985181514
3,3.7275343815870885
4,3.6768798895750683
5,3.6135892007559076
6,3.5096230815536402
7,3.461663162867427
8,3.416392674490206
9,3.371214841228819
10,3.2749364073448093
11,3.2212190950813238
12,3.1379420537908285
13,3.0748911104954315
14,3.062931103651351
15,3.015304934743562
16,2.9196708991881026
17,2.884992209105761
18,2.8085021013569897
19,2.723129430550187
20,2.6867702482952236
21,2.6545528078179275
22,2.5553738079126602
23,2.533474562729523
24,2.3707417814919145
